1000, 2960
increase 1531 2
increase 1532 2
increase 1533 2
increase 1534 2
increase 1535 2
increase 1536 2
increase 1537 2
increase 1538 2
increase 1539 2
increase 1540 2
increase 1541 2
increase 1542 2
increase 1543 2
increase 1544 2
increase 1545 2
increase 1546 2
increase 1547 2
increase 1548 2
increase 1549 2
increase 1550 2
increase 1551 2
increase 1552 2
increase 1553 2
increase 1554 2
increase 1555 2
increase 1556 2
increase 1557 2
increase 1558 2
increase 1559 2
increase 1560 2
increase 1561 2
increase 1562 2
increase 1563 2
increase 1564 2
increase 1565 2
increase 1566 2
increase 1567 2
increase 1568 2
increase 1569 2
increase 1570 2
increase 1571 2
increase 1572 2
increase 1573 2
increase 1574 2
increase 1575 2
increase 1576 2
increase 1577 2
increase 1578 2
increase 1579 2
increase 1580 2
increase 1581 2
increase 1582 2
increase 1583 2
increase 1584 2
increase 1585 2
increase 1586 2
increase 1587 2
increase 1588 2
increase 1589 2
increase 1590 2
increase 1591 2
increase 1592 2
increase 1593 2
increase 1594 2
increase 1595 2
increase 1596 2
increase 1597 2
increase 1598 2
increase 1599 2
increase 1600 2
increase 1601 2
increase 1602 2
increase 1603 2
increase 1604 2
increase 1605 2
increase 1606 2
increase 1607 2
increase 1608 2
increase 1609 2
increase 1610 2
increase 1611 2
increase 1612 2
increase 1613 2
increase 1614 2
increase 1615 2
increase 1616 2
increase 1617 2
increase 1618 2
increase 1619 2
increase 1620 2
increase 1621 2
increase 1622 2
increase 1623 2
increase 1624 2
increase 1625 2
increase 1626 2
increase 1627 2
increase 1628 2
increase 1629 2
increase 1630 2
increase 1631 2
increase 1632 2
increase 1633 2
increase 1634 2
increase 1635 2
increase 1636 2
increase 1637 2
increase 1638 2
increase 1639 2
increase 1640 2
increase 1641 2
increase 1642 2
increase 1643 2
increase 1644 2
increase 1645 2
increase 1646 2
increase 1647 2
increase 1648 2
increase 1649 2
increase 1650 2
increase 1651 2
increase 1652 2
increase 1653 2
increase 1654 2
increase 1655 2
increase 1656 2
increase 1657 2
increase 1658 2
increase 1659 2
increase 1660 2
increase 1661 2
increase 1662 2
increase 1663 2
increase 1664 2
increase 1665 2
increase 1666 2
increase 1667 2
increase 1668 2
increase 1669 2
increase 1670 2
increase 1671 2
increase 1672 2
increase 1673 2
increase 1674 2
increase 1675 2
increase 1676 2
increase 1677 2
increase 1678 2
increase 1679 2
increase 1680 2
increase 1681 2
increase 1682 2
increase 1683 2
increase 1684 2
increase 1685 2
increase 1686 2
increase 1687 2
increase 1688 2
increase 1689 2
increase 1690 2
increase 1691 2
increase 1692 2
increase 1693 2
increase 1694 2
increase 1695 2
increase 1696 2
increase 1697 2
increase 1698 2
increase 1699 2
increase 1700 2
increase 1701 2
increase 1702 2
increase 1703 2
increase 1704 2
increase 1705 2
increase 1706 2
increase 1707 2
increase 1708 2
increase 1709 2
increase 1710 2
increase 1711 2
increase 1712 2
increase 1713 2
increase 1714 2
increase 1715 2
increase 1716 2
increase 1717 2
increase 1718 2
increase 1719 2
increase 1720 2
increase 1721 2
increase 1722 2
increase 1723 2
increase 1724 2
increase 1725 2
increase 1726 2
increase 1727 2
increase 1728 2
increase 1729 2
increase 1730 2
increase 1731 2
increase 1732 2
increase 1733 2
increase 1734 2
increase 1735 2
increase 1736 2
increase 1737 2
increase 1738 2
increase 1739 2
increase 1740 2
increase 1741 2
increase 1742 2
increase 1743 2
increase 1744 2
increase 1745 2
increase 1746 2
increase 1747 2
increase 1748 2
increase 1749 2
increase 1750 2
increase 1751 2
increase 1752 2
increase 1753 2
increase 1754 2
increase 1755 2
increase 1756 2
increase 1757 2
increase 1758 2
increase 1759 2
increase 1760 2
increase 1761 2
increase 1762 2
increase 1763 2
increase 1764 2
increase 1765 2
increase 1766 2
increase 1767 2
increase 1768 2
increase 1769 2
increase 1770 2
increase 1771 2
increase 1772 2
increase 1773 2
increase 1774 2
increase 1775 2
increase 1776 2
increase 1777 2
increase 1778 2
increase 1779 2
increase 1780 2
increase 1781 2
increase 1782 2
increase 1783 2
increase 1784 2
increase 1785 2
increase 1786 2
increase 1787 2
increase 1788 2
increase 1789 2
increase 1790 2
increase 1791 2
increase 1792 2
increase 1793 2
increase 1794 2
increase 1795 2
increase 1796 2
increase 1797 2
increase 1798 2
increase 1799 2
increase 1800 2
increase 1801 2
increase 1802 2
increase 1803 2
increase 1804 2
increase 1805 2
increase 1806 2
increase 1807 2
increase 1808 2
increase 1809 2
increase 1810 2
increase 1811 2
increase 1812 2
increase 1813 2
increase 1814 2
increase 1815 2
increase 1816 2
increase 1817 2
increase 1818 2
increase 1819 2
increase 1820 2
increase 1821 2
increase 1822 2
increase 1823 2
increase 1824 2
increase 1825 2
increase 1826 2
increase 1827 2
increase 1828 2
increase 1829 2
increase 1830 2
increase 1831 2
increase 1832 2
increase 1833 2
increase 1834 2
increase 1835 2
increase 1836 2
increase 1837 2
increase 1838 2
increase 1839 2
increase 1840 2
increase 1841 2
increase 1842 2
increase 1843 2
increase 1844 2
increase 1845 2
increase 1846 2
increase 1847 2
increase 1848 2
increase 1849 2
increase 1850 2
increase 1851 2
increase 1852 2
increase 1853 2
increase 1854 2
increase 1855 2
increase 1856 2
increase 1857 2
increase 1858 2
increase 1859 2
increase 1860 2
increase 1861 2
increase 1862 2
increase 1863 2
increase 1864 2
increase 1865 2
increase 1866 2
increase 1867 2
increase 1868 2
increase 1869 2
increase 1870 2
increase 1871 2
increase 1872 2
increase 1873 2
increase 1874 2
increase 1875 2
increase 1876 2
increase 1877 2
increase 1878 2
increase 1879 2
increase 1880 2
increase 1881 2
increase 1882 2
increase 1883 2
increase 1884 2
increase 1885 2
increase 1886 2
increase 1887 2
increase 1888 2
increase 1889 2
increase 1890 2
increase 1891 2
increase 1892 2
increase 1893 2
increase 1894 2
increase 1895 2
increase 1896 2
increase 1897 2
increase 1898 2
increase 1899 2
increase 1900 2
increase 1901 2
increase 1902 2
increase 1903 2
increase 1904 2
increase 1905 2
increase 1906 2
increase 1907 2
increase 1908 2
increase 1909 2
increase 1910 2
increase 1911 2
increase 1912 2
increase 1913 2
increase 1914 2
increase 1915 2
increase 1916 2
increase 1917 2
increase 1918 2
increase 1919 2
increase 1920 2
increase 1921 2
increase 1922 2
increase 1923 2
increase 1924 2
increase 1925 2
increase 1926 2
increase 1927 2
increase 1928 2
increase 1929 2
increase 1930 2
increase 1931 2
increase 1932 2
increase 1933 2
increase 1934 2
increase 1935 2
increase 1936 2
increase 1937 2
increase 1938 2
increase 1939 2
increase 1940 2
increase 1941 2
increase 1942 2
increase 1943 2
increase 1944 2
increase 1945 2
increase 1946 2
increase 1947 2
increase 1948 2
increase 1949 2
increase 1950 2
increase 1951 2
increase 1952 2
increase 1953 2
increase 1954 2
increase 1955 2
increase 1956 2
increase 1957 2
increase 1958 2
increase 1959 2
increase 1960 2
increase 1961 2
increase 1962 2
increase 1963 2
increase 1964 2
increase 1965 2
increase 1966 2
increase 1967 2
increase 1968 2
increase 1969 2
increase 1970 2
increase 1971 2
increase 1972 2
increase 1973 2
increase 1974 2
increase 1975 2
increase 1976 2
increase 1977 2
increase 1978 2
increase 1979 2
increase 1980 2
increase 1981 2
increase 1982 2
increase 1983 2
increase 1984 2
increase 1985 2
increase 1986 2
increase 1987 2
increase 1988 2
increase 1989 2
half 1990 499
half 995 250
half 497 126
decrease 248 2
half 247 63
decrease 123 2
decrease 122 2
root 121 29
half 11 4
half 5 3
